Datas,Motivo,Valor ($),Volume (T),NS K$,Markets,Products,SOG,KPI,Source,Owner,Motivo_Index,Meta ($)
2023-03-01 06:29:11.351351352,Share of Display,6214.63,8429.97,2427.22,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-03-02 00:02:52.972972973,Market trend L12W,8377.17,4503.2,5259.92,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6),External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-03-02 17:36:34.594594595,Volume of inno,1383.78,6022.49,6273.6,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-03-03 11:10:16.216216216,Avg RSP (standard price),4243.77,6000.84,5250.3,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122065 | OIKOS 750GX1(6) | PEACH,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-03-04 04:43:57.837837838,Distribution - DV,3436.07,6276.72,5578.09,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2) | BLUEBERRY,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-03-04 22:17:39.459459460,A&P Spent,2081.54,6329.01,7698.18,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-03-05 15:51:21.081081081,Market trend L12W,6479.61,2859.38,6768.99,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-03-06 09:25:02.702702703,Avg FSP,3255.91,2908.87,259.76,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-03-07 02:58:44.324324325,Market trend L12W,4766.2,8882.01,8567.17,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122065 | OIKOS 750GX1(6),External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-03-07 20:32:25.945945946,Volume of inno,7683.86,3143.54,1934.34,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400234567890 | DANONE DRINK 330MLX6 (4),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-03-08 14:06:07.567567568,Distribution - DV,6044.84,8617.48,5096.1,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6) | MANGO,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-03-09 07:39:49.189189190,Avg FSP,4315.27,4324.19,2193.58,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-03-10 01:13:30.810810811,Avg RSP (standard price),2822.08,321.44,5425.1,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121042 | OIKOS 100GX4(6),Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-03-10 18:47:12.432432433,Avg RSP (standard price),952.65,5559.76,6140.08,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8) | STRAWBERRY,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-03-11 12:20:54.054054054,Avg RSP (standard price),3051.0,5670.61,2344.82,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121042 | OIKOS 100GX4(6) | VANILLA,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-03-12 05:54:35.675675676,Share of Display,8322.49,2334.64,2091.41,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400234567890 | DANONE DRINK 330MLX6 (4),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-03-12 23:28:17.297297298,Avg FSP,3953.6,2623.3,7213.69,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356132094204 | OIKOS DRINK 190MLX1 (8),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-03-13 17:01:58.918918919,A&P Spent,5796.37,6259.74,1744.66,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356132094204 | OIKOS DRINK 190MLX1 (8) | STRAWBERRY,Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-03-14 10:35:40.540540541,Share of Display,787.43,5352.12,3409.79,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-03-15 04:09:22.162162162,Share of Display,5734.84,5133.08,1155.6,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122173 | OIKOS 650GX1(6),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
